,symptom,disease,treatment_drug,emergency_condition,treatment_drugs
270,"[""Graves' disease. Graves' disease is the most common cause of hyperthyroidism. It is an immune system disorder. The body produces antibodies that cause the thyroid to make and release too much thyroid hormone. If you have a relative with Graves' disease, you have an increased risk of developing hyperthyroidism."", 'Thyroid tumor. A noncancerous thyroid tumor may make and secrete increased amounts of thyroid hormones.', 'Toxic multinodular goiter. The thyroid gland is enlarged with many noncancerous thyroid tumors. They secrete increased amounts of thyroid hormone.']",hyperthyroidism,,"['methimazole', 'Tapazole', 'SSKI', 'ThyroShield', 'Hicon']","['Blood tests to check levels of certain antibodies', 'An ultrasound of the thyroid', 'A thyroid scan']"
271,"['Gastrointestinal surgery, such as weight loss surgery, in which part of the stomach may be removed or ""bypassed."" Such procedures can disrupt the normal relationships between digestion and insulin release. ""Nissen"" surgeries for treatment of gastroesophageal reflux can also result in episodes of hypoglycemia.', 'A pancreatic tumor, called an insulinoma, that abnormally secretes insulin', 'A deficiency of growth hormone from the pituitary gland or of cortisol from the adrenal glands. Both of these hormones help to keep blood sugars normal', 'Alcohol', 'Overdose of aspirin', 'Severe liver disease', 'Use of insulin by someone who does not have diabetes', 'Rare cancers that secrete an insulin-like substance', 'Rarely, an enzyme defect. Examples of enzymes that help keep blood sugar normal are glucose-6-phosphatase, liver phosphorylase, and pyruvate carboxylase']",hypoglycemia,,,
272,"['Hair loss ', 'Dry skin ', 'Yeast infection (candidiasis), typically of the fingernails, toenails, skin, mouth (thrush) or vagina ', 'Poor tooth development in children ', 'Mental retardation']",hypoparathyroidism,,,
273,"['Lack of energy', 'A constant tired feeling', 'Constipation', 'Abnormal sensitivity to cold temperatures, which can develop gradually', 'Muscle cramps and stiffness', 'Weight gain (often in spite of a poor appetite)', 'Dry skin and hair', 'Hair loss', 'Hoarseness or husky voice', 'Slowed heart rate', 'Depression']",hypothyroidism,,,
274,"['Subtotal, supracervical or partial hysterectomy. The uterus is removed, but not the cervix.', 'Total or complete hysterectomy. Both the uterus and the cervix are removed.', 'Total hysterectomy plus unilateral salpingo-oophorectomy. This procedure removes the uterus, cervix, one ovary and one fallopian tube, while one ovary and one fallopian tube are left in place. This procedure is usually done if a problem confined to one ovary is detected at the time of hysterectomy. After surgery, the remaining ovary should produce enough female hormones if the woman has not reached menopause.', 'Total hysterectomy plus bilateral salpingo-oophorectomy. This is the removal of the uterus, cervix, and both fallopian tubes and ovaries. Removing both ovaries will cause surgical menopause in a woman who has not reached menopause because the production of female hormone stops when the ovaries are removed.', 'Radical hysterectomy. This procedure removes the uterus, cervix, both ovaries, both fallopian tubes and nearby lymph nodes in the pelvis. This procedure is only done in some women who have gynecological cancer.']",hysterectomy,,"['Fever', 'Excessive bleeding from your vagina', 'Bleeding, discharge, swelling or extreme tenderness at your incision site', 'Nausea, vomiting or abdominal pain', 'Trouble urinating', 'Feelings of excessive sadness', ""Difficulties or discomfort during sexual intercourse (once the gynecologist says it's OK to resume sex)""]","['Excessive bleeding', 'Infection', 'An injury to the bowel or bladder', 'An injury to nerves that regulate the bladder, causing either incontinence or overfilling of the bladder', 'A blood clot in the veins of the legs (called deep venous thrombosis). If such a clot floats out of the leg and lodges in the lungs, it is a more dangerous complication called a pulmonary embolism.']"
275,,hysterosalpingogram,,,
276,,hysteroscopy,,,
277,"['Severe dryness of the skin with thickening and flaking, which may be appear only in limited areas or may involve almost the entire skin surface', 'Mild itching of the skin', 'Body odor, because the spaces under and between skin flakes can harbor collections of bacteria or fungus', 'Wax buildup in the ears, causing hearing difficulties']",ichthyosis,,,
278,"['Preoccupation with having or developing a serious illness', 'Absence of physical symptoms or, if present, symptoms are mild', 'Behavior indicating health anxiety, such as checking for signs of illness', 'Easy alarm about medical problems; persistent fear despite medical reassurance', 'Overuse or underuse medical care.', 'Absence of delusions or psychosis', 'Clinical distress or functional impairment', 'Absence of delusions or psychosis']",illness-anxiety-disorder,,,
279,"['Biological therapy ', 'Biological response modifier therapy ']",immunotherapy,,"['Kidney cancer ', ""Kaposi's sarcoma "", 'Melanoma  ', 'Certain types of leukemia and lymphoma']","[""Interferons. Boost the body's immune response. They also can act directly on cancer cells to control their rapid growth.  "", ""Interleukins. Stimulate growth of the body's immune cells, especially lymphocytes. Lymphocytes are a type of white blood cell.  "", 'Colony stimulating factors (CSFs). Encourage the growth of bone marrow stem cells. Bone-marrow stem cells, especially white blood cells, are needed to fight infections. But they often are destroyed by cancer treatments such as chemotherapy or radiation.  CSFs are used after other cancer therapies. They help to grow a new population of cells in the blood. ', ""Monoclonal antibodies. These are made in a laboratory. They recognize the antigens on the surface of cancer cells.  Monoclonal antibodies can be used alone. Or they can be linked to anti-cancer drugs or to radioactive substances. They can carry these linked poisons directly to tumor cells inside the body.   Some antibodies acting alone can significantly interfere with cancer cells. They can stop them from growing. Or they can cause them to be destroyed by the body's immune system. Monoclonal antibodies spare the body's normal cells.  Monoclonal antibodies also may help people with autoimmune diseases. They target immune cells or chemical messengers involved in inflammation. Monoclonal antibodies may reduce inflammation and pain, which helps improve joint function in people with rheumatoid and psoriatic arthritis. ""]"
280,"['mupirocin', 'Altabax', 'Bactroban', 'Ceftin', 'Duricef']",impetigo,,,
281,"['After spreading through the bloodstream from another part of the body, such as the lungs during pneumonia', 'Through a nearby wound', 'After surgery, an injection or trauma']",infectious-arthritis,,,
282,"['Fever', 'Headaches', 'Muscle aches', 'Unusual fatigue, such as the need for 12 to 16 hours of sleep daily']",infectious-mononucleosis,,"['Differential white blood cell count. This test measures levels of different types of white blood cells. In the first few weeks of mononucleosis, the number of lymphocytes (a type of white blood cell) is quite high. There also are large numbers of lymphocytes that look unusual, called ""atypical lymphocytes"".', 'Heterophil tests. Mononucleosis causes white blood cells to make an unusual kind of antibody called heterophil antibody. Heterophil tests measure levels of heterophil antibody. One of the most commonly used heterophil tests is the Monospot test.']","['Fever', 'A reddened throat with enlarged tonsils', 'Swollen lymph nodes in the neck and elsewhere', 'An enlarged spleen', 'A red rash, usually on the chest']"
283,"['Cut your toenails straight across so that the corner of the nail is visible to you, not buried under skin at the side of your nail. If you are not able to see the corner of your nail as you trim it, your nail might have a jagged corner after it is trimmed, with a ""forked"" edge that can extend under your skin as it grows. Use clippers that are designed to cut toenails, or a nail file.  ', ""Wear shoes that are large enough that they don't push your toes together.  ""]",ingrown-toenail,,,
284,"['Indirect inguinal hernia — This occurs when the internal opening of the inguinal canal, which usually closes around the time of birth, remains open. This allows a portion of the intestine to slip through the inguinal canal. These hernias often are diagnosed within the first year of life, but may not show up until adulthood. This condition affects between 1% and 5% of normal newborns and up to 10% of premature infants.']",inguinal-hernia,,"['Laparoscopic surgery — In laparoscopic hernia repair, a surgeon makes three small incisions in the abdominal wall and then inflates the abdomen with a harmless gas. The surgeon then inserts a laparoscope through the incisions. A laparoscope is a tube-like instrument with a small video camera and surgical instruments. While viewing the internal scene on a monitor, the surgeon pushes the herniated intestine back into place and repairs the hernia opening with surgical staples. Although this surgery seems attractive to many people, the long-term success rate is lower compared to open surgery. Laparoscopic surgery often causes less discomfort, and lets the person return to activities more quickly. If you are interested in laparoscopic surgery, discuss the advantages and disadvantages with your doctor.']","['Open surgery — Most inguinal hernias are repaired by open surgery with the patient under general or local anesthesia. After the surgeon makes an incision in the groin, he or she pushes the herniated tissue back into place and repairs the hernia opening with stitches. In many cases, a small piece of synthetic mesh material is used to reinforce the area to prevent another hernia.']"
285,"['Stress or anxiety', ""A change in sleeping environment (being a guest at a hotel or a relative's home)"", 'An uncomfortable sleeping environment (too hot, too cold, too bright, too noisy)', 'An uncomfortable mattress', 'Pajamas that are too tight', 'Having a bed partner who snores or has disruptive sleep patterns', 'Watching television, reading a book or problem-solving in your bed, so your brain associates lying down in bed without activities other than sleeping', 'Eating a heavy meal before bedtime', 'Taking a prescription medication that has insomnia as a side effect', 'Drinking alcoholic beverages before bedtime', 'Having a high intake of beverages containing caffeine (coffee, tea, cola) during the day', 'Cigarette smoking', 'Exercising immediately before bedtime', 'Not exercising enough during the day, so you have energy to spare', 'Taking a hot bath or shower before bed', 'Traveling to a different time zone', 'Traveling to a much higher altitude', 'Shift work']",insomnia,,"['Relaxation therapy — Special techniques to quiet the mind and relax the muscles', 'Sleep restriction — A program that at first permits only a few hours of sleep per night, then gradually increases the nightly sleeping time', 'Reconditioning — A program that teaches the patient to associate the bed only with sleeping (and sexual activity) by having the patient go to bed only when sleepy and avoid daytime naps']","['Follow a regular sleep schedule. Have a routine bedtime and wake up at roughly the same hour each morning.', 'Sleep in loose, comfortable clothes in a comfortable bed.', ""Eliminate any sources of noise or bright lights that prevent or disrupt sleep. If noise from outside your bedroom can't be eliminated, it might help if you drown out that noise by creating a monotonous noise of your own. Use a fan, a channel with static noise on your radio, or a recording of ocean waves to make a noise that can lull you to sleep."", 'Maintain a comfortable temperature in your bedroom', 'Cut down on beverages containing caffeine during the day, since the stimulating effects of caffeine can last for many hours', 'Avoid heavy meals before bedtime', 'Eliminate alcohol, since many people experience wakefulness as the effect of the alcohol wears off', 'Exercise daily, preferably early in the day', 'If you read before bed, do this in a chair or in another room', 'Consider sleeping in a separate bed or separate room if your partner keeps you awake']"
286,"['Frequent urination  ', 'An intense urge to urinate  ', 'Awakening from sleep to pass urine  ', 'A burning sensation during urination  ', 'Pain, pressure or tenderness in the area of the bladder — midline, below the navel or in some other portion of the pelvis  ', 'Increasing discomfort as the bladder fills  ', 'Pain during sexual intercourse  ', 'In men, pain or discomfort in the penis and scrotum  ', 'In women, worsening symptoms during menstrual periods']",interstitial-cystitis,,,
287,"['Polycystic kidney disease', 'Ehlers-Danlos syndrome', 'Neurofibromatosis', 'Pseudoxanthoma elasticum', 'Hereditary hemorrhagic telangiectasia', 'Alpha1-antitrypsin deficiency', 'Coarctation of the aorta', 'Fibromuscular dysplasia', 'Pheochromocytoma', ""Klinefelter's syndrome"", 'Tuberous sclerosis', ""Noonan's syndrome"", 'Alpha-glucosidase deficiency']",intracranial-aneurysms,,"['bleeding in the space between the skull bone and the brain (subarachnoid hemorrhage)', 'bleeding into the brain (hemorrhagic stroke)', 'swelling of the brain causing high pressure within the skull (hydrocephalus)', 'vasospasm, which is when other blood vessels in the brain contract and limit blood flow to vital areas of the brain. Vasospasm can cause stroke and is the leading cause of disability and death following a burst aneurysm.', 'coma', 'short-term or permanent brain damage.']","['carefully controlling high blood pressure', 'avoiding tobacco', 'not using cocaine or other stimulant drugs', 'drinking alcohol in moderation, if you drink ']"
288,"['An inadequate diet', 'Poor absorption of iron resulting from the surgical removal of part or all of the stomach or intestine', 'Inflammatory bowel disease', 'An intestinal disorder called celiac sprue', 'Chronic blood loss caused by any of the following:', 'Abnormally heavy menstrual periods', 'Bleeding into the urine, which is rare, or into the gastrointestinal tract, which is common; often, the blood loss is so small, it can only be detected with special testing', 'Excessive blood donation', 'A parasitic hookworm infestation']",iron-deficiency,,,
289,"['Daytime sleepiness', 'Headaches', 'Insomnia', 'Restless sleep, possibly with frequent awakenings', 'Difficulty concentrating', 'Impaired judgment', 'Upset stomach or mild nausea']",jet-lag,,,
290,"[""Juvenile idiopathic arthritis (formerly called juvenile rheumatoid arthritis) – This is the most common form of juvenile arthritis. Juvenile idiopathic arthritis is thought to be an autoimmune disease, which means that, for unknown reasons, the body's immune system attacks some of its own tissue the same way it would react against a foreign invader such as a virus or bacteria. In juvenile idiopathic arthritis, the lining of the joint (called synovial membrane) becomes inflamed and enlarged, limiting movement and causing pain and tenderness. Enzymes released by the inflamed membranes cause further damage by eroding the bone and cartilage. This type of joint and bone damage can cause problems in a growing child. If the growth areas of the bones are affected, the bones may grow at different rates so that one bone may develop abnormally in shape or size. The result could be, for example, that one leg might be permanently shorter than the other.""]",juvenile-arthritis,,,
291,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']",kaposi's-sarcoma,,,
292,"['Conjunctivitis of both eyes (bloodshot eyes)  ', 'Symptoms involving the mouth or throat, including redness and inflammation of the lips or throat, cracked lips, bleeding lips or a strawberry-colored tongue  ', 'Symptoms affecting the hands or feet, including swelling, redness of the skin on the palms and soles or peeling skin on the fingertips, toes, palms or soles  ', 'A rash, primarily on the torso  ', 'Swollen glands in the neck  ']",kawasaki-syndrome,,,"['Acute phase - This is the most intense part of the illness, when symptoms are most severe. It usually lasts one to two weeks.', ""Subacute phase - This stage begins when the child's fever, rash and swollen lymph nodes go away. However, the child still feels irritable, has a poor appetite and slight eye redness and may develop peeling skin on the fingers and toes. This stage usually ends three to four weeks after the fever began."", 'Convalescent stage - This stage begins when all clinical symptoms are gone, but the results of a blood test called the erythrocyte sedimentation rate (ESR), an indicator that there is still inflammation in the body, remain abnormal. When the ESR results finally return to normal, usually six to eight weeks after the fever began, the convalescent stage ends.']"
293,"['Removal with conventional surgery — This unreliable technique requires great care, and keloids that return after being removed may be larger than the original. Keloids return in more than 45% of people when they are removed surgically. Keloids are less likely to return if surgical removal is combined with other treatments.', 'Dressings — Moist wound coverings made of silicone gel sheets have been shown in studies to sometimes reduce the size of keloids over time. This treatment is safe and painless.', 'Corticosteroid injections — Injections into keloids with triamcinolone acetonide or another corticosteroid medicine typically are repeated at intervals of four to six weeks. This treatment can often reduce keloid size and irritation, but injections are uncomfortable.', 'Compression — This involves using a bandage or tape to apply continuous pressure 24 hours a day for a period of six to 12 months. Such compression can cause a keloid to become smaller. For keloids that form at the site of an ear piercing, a clip known as a ""Zimmer splint"" usually reduces keloid size by at least 50% after one year of compression. Zimmer splints that resemble earrings are available. ', ""Cryosurgery — This freezing treatment with liquid nitrogen is repeated every 20 to 30 days. It can cause a side effect of lightening the skin color, which limits this treatment's usefulness."", 'Radiation therapy — This therapy is controversial because radiation increases the risk of cancer. Radiation treatments may reduce scar formation if they are used soon after a surgery, during the time a surgical wound is healing.', 'Laser therapy — This is an alternative to conventional surgery for keloid removal. There is no good evidence that keloids are less likely to return after laser therapy than after regular surgery.', 'Fluorouracil injections — Injections into the keloids with the combination of the chemotherapy drug fluorouracil and triamcinolone have been used when other measures have not been successful.']",keloids,,,
294,"['Adenovirus, which is one of the causes of upper respiratory infections. ', 'Herpes simplex type 1, the same virus that causes cold sores.  ', 'Varicella zoster (also a herpes virus), which is associated with chickenpox and shingles. ']",keratitis,,,"['Lotemax', 'TobraDex', 'Maxitrol', 'Maxidex', 'Alrex']"
295,"['smoke', 'are obese', 'have had prolonged exposure to asbestos, cadmium, or petroleum products', 'have family members who have had kidney cancer', 'have had long-term dialysis treatment', 'have tuberous sclerosis, a disease characterized by bumps on the skin caused by small tumors in blood vessels', 'have von Hippel-Lindau disease, a rare genetic disorder that causes tumors to grow in various parts of the body.']",kidney-cancer,,"['Radiofrequency ablation -- heat waves directed at the tumor kill the cancer cells', 'Freezing therapy', 'Very focused radiation known as cyber knife or surgical gamma knife']","['MRI and an MRI urogram. Images made during this test can show whether the cancer has spread to blood vessels in the abdomen.', 'Chest x-ray and CT scan of the lungs. Your doctor may order these tests to determine whether kidney cancer has spread to the lungs or chest bones.', 'Bone scan. This test uses small, safe levels of radioactive material show whether cancer has spread to your bones.']"
296,"['Acute kidney injury (acute renal failure) — Kidney function stops or is abruptly reduced because of a sudden illness, a medication, a toxin or a medical condition that causes one of the following:  ', 'A severe drop in blood pressure or an interruption in the normal blood flow to the kidneys, which can occur during major surgery, severe burns with fluid loss through burned skin, massive bleeding (hemorrhage) or a heart attack that severely affects heart function.  ', ""Direct damage to kidney cells or to the kidneys' filtering units, which can be caused by inflammation in the kidneys, toxic chemicals, medications, contrast dye used for computed tomography (CT) scans and certain procedures (such as angiograms) that are guided by x-ray, and infections.  "", 'Blocked urine flow from the kidney, which can occur because of obstructions outside the kidney, such as kidney stones, bladder tumors or an enlarged prostate.  ', ""Chronic kidney disease (chronic renal failure) — Kidney function gradually declines, usually over a period of years. It is most commonly caused by illnesses such as diabetes, uncontrolled high blood pressure or chronic kidney inflammation (nephritis). Chronic renal failure also can occur because of long-term exposure to certain toxins or drugs. Some forms of chronic renal failure run in families, so your doctor will ask you about family members' medical problems.  "", 'End-stage renal disease — This also is called end-stage renal failure. This occurs when kidney function has deteriorated to the point that if dialysis treatments do not begin, the person will die. This is usually the end result of longstanding chronic kidney disease, but occasionally, it also follows acute renal failure.  ']",kidney-failure,,"['Acute kidney injury — Treatment begins with measures to correct the cause of renal failure (shock, hemorrhage, burns, heart attack, etc.). Usually  doctors order intravenous fluids to be sure that there is sufficient blood flow to the kidneys. This is not done if there is already severe fluid overload. Medications may be needed to lower high levels of potassium and other blood chemicals. If severe fluid overload or abnormalities in blood chemistry cannot be corrected with medications, emergency short-term dialysis may be necessary.  ', 'Chronic renal failure — People with chronic renal failure are monitored closely with frequent physical examinations, blood pressure checks and blood testing. Treatment often includes: ', 'A low-protein and low-salt diet ', 'Medications to adjust blood chemical levels ', 'Medications to treat high blood pressure ', 'A hormonal medication called erythropoietin (Epogen, Procrit) to correct anemia (a low level of red blood cells).  ', 'End-stage renal disease — End-stage renal disease is treated with dialysis. Dialysis must continue indefinitely, or until a suitable donor can be found for a kidney transplant. Dialysis mechanically removes waste products from the blood. In rare cases, patients with severe high blood pressure or chronic pyelonephritis may need both kidneys removed surgically before a transplant.  ']","['A chest X-ray to check for signs of excess fluid in the lungs ', 'An ultrasound examination of the kidneys to check for a urinary tract obstruction ', 'A kidney biopsy, in which a sample of kidney tissue is removed and examined in a laboratory ']"
297,"['Extreme pain ', 'Blocked urine flow ', 'Bleeding from the walls of the urinary tract ']",kidney-stones,,"['The stone is too large to pass on its own ', 'Your pain is severe ', 'You have infection  ', 'You have significant bleeding  ']","['A stronger urge to urinate  ', 'A burning sensation when urinating  ']"
298,"['Diabetes', 'High blood pressure', ""Inflammation of the kidney's filtering units"", 'Certain medications', 'Polycystic kidney disease, kidney tumors and severe kidney infections', 'Failure of a kidney transplant']",kidney-transplant,,"['Weight gain', 'Increased facial hair', 'Acne', 'Cataracts', 'Diabetes', 'High blood pressure', 'Bone disease', 'Other problems']","['Bleeding', 'Infection', 'Heart attack', 'Stroke', 'Side effects from anesthesia', 'There are additional risks that are more specific to kidney transplant. These include:', 'A danger that blood vessels in the transplanted kidney may become clotted or narrowed after surgery.', 'Urine leaking inside the body', 'Urine flow becoming obstructed', 'Large blood clots forming inside the bladder']"
299,"['Anterior cruciate ligament (ACL) — The ACL and the posterior cruciate ligament (PCL) bridge the inside of the knee joint, forming an ""X"" pattern that stabilizes the knee against front-to-back and back-to-front forces. The ACL typically sprains during one of the following knee movements: a sudden stop; a twist, pivot or change in direction at the joint; extreme overstraightening (hyperextension); or a direct impact to the outside of the knee or lower leg. These injuries are seen among athletes in football, basketball, soccer, rugby, wrestling, gymnastics and skiing.', 'Posterior cruciate ligament (PCL) — The PCL works with the ACL to stabilize the knee. It most often sprains because of a direct impact to the front of the knee, such as hitting the knee on the dashboard in a car crash or landing hard on a bent knee during sports. In athletes, PCL injuries are most common among those who play football, basketball, soccer and rugby.', 'Medial collateral ligament (MCL) — The MCL supports the knee along the inner side of the leg. Like the ACL, the MCL can be torn by a direct sideways blow to the outside of the knee or lower leg, the kind of blow that can happen in football, soccer, hockey and rugby. The MCL can be injured by a severe knee twist during skiing or wrestling, particularly when a fall twists the lower leg outwards, away from the upper leg.', 'Lateral collateral ligament (LCL) — The LCL supports the outer side of the knee. It is the least likely knee ligament to be sprained because most LCL injuries are caused by a blow to the inside of the knee, and that area usually is shielded by the opposite leg.']",knee-sprain,,"['Knee pain and swelling', 'Knee buckling toward the outside', 'An area of tenderness over the torn MCL (at the inner side of the knee)']","['Mild knee swelling, with or without knee instability', 'Mild difficulty in moving the knee', 'Mild pain at the back of the knee that worsens when you kneel']"
300,"['Watery, bulky, odd-smelling stools ', 'Nausea ', 'Abdominal pain ', 'Cramps ', 'Bloating ']",lactose-intolerance,,,
301,"['Weakness or paralysis of the face, arm, leg, foot or toes', 'Sudden numbness', 'Difficulty walking', 'Difficulty speaking', 'Clumsiness of a hand or arm', 'Weakness or paralysis of eye muscles', 'Other neurological symptoms']",lacunar-stroke,,,
302,"['an irregularity close to the chest wall, the nipple, or the surface of the breast', 'certain types of calcium deposits in the area of concern', 'very small breasts.']",large-core-needle-biopsy-of-the-breast,,,
303,"['Hoarseness', 'Raw throat', 'The feeling that you need to clear your throat']",laryngitis,,,
304,"['Nearsightedness (myopia). Distant objects appear blurry.', 'Farsightedness (hyperopia). Nearby objects appear blurry.', 'Astigmatism. Blurred vision is caused by an irregularly shaped cornea.']",lasik,,"['Remove the eye patch', 'Examine your cornea', 'Check your vision']","['Your expectations', 'Potential risks and complications of surgery', 'Other treatment options', 'Frank answers to your questions']"
305,,latex-allergy,,,
306,"['With increasing or prolonged exposure, lead can cause:  ', 'Permanent damage to the central nervous system, especially the brain  ', 'Delayed development in children  ', 'Behavioral changes in children ', 'Decreased production of red blood cells (anemia)  ', 'Hearing problems ', 'Damage to the reproductive systems of men and women ', 'Kidney disease ', 'Convulsions (seizures)  ', 'Coma  ']",lead-poisoning,,"['Inability to sleep  ', 'Memory and concentration problems  ', 'Infertility  ', 'Kidney damage  ', 'High blood pressure ']","['At higher exposures, children may experience:  ', 'Decreased production of red blood cells (anemia)  ', 'Tiredness and fatigue  ', 'Headaches  ', 'Severe abdominal pain and cramps  ', 'Hearing problems  ', 'Slowed growth  ', 'Persistent vomiting  ', 'Convulsions  ', 'Coma ']"
307,,leg-fracture,,,
308,"['Calf muscle strain (gastrocnemius strain). The calf muscle typically gets strained when the foot suddenly bends upward, stretching the calf muscle beyond its limits. At the time of injury, you may hear or feel a pop inside your calf -- the sound of the muscle tearing or shearing away from the Achilles tendon. Calf muscle strains are common in athletes, especially tennis players and joggers. However, they also can happen during a simple stroll, if your foot flexes upward when you step into a hole in the sidewalk or if your heel slips off the edge of a curb. ', ""Plantaris strain. The plantaris is a thin muscle that begins at the lower end of the femur (the large bone of the upper leg), stretches across the knee joint and attaches to the back of the heel along with the Achilles tendon. Because the plantaris doesn't contribute much force in bending the knee, a tear in this muscle may not seriously affect your knee function. However, a severe plantaris strain can cause significant pain, usually at the back of your calf rather than near the knee. A plantaris strain can occur alone or accompany a gastrocnemius strain or a tear of the anterior cruciate ligament (ACL), a major, stabilizing ligament in the knee. "", 'Hamstring strain (pulled hamstring). Hamstrings are long muscles that extend down the back of the thigh. Because hamstrings work to pull back the leg and bend the knee, they can be injured during running, kicking or jumping. You may feel a pop, usually at the back of the thigh, when the muscle tears. ', 'Quadriceps strain. The quadriceps is a large group of muscles in the front of the thigh that straighten out the knee, the opposite action from the hamstrings. Quadriceps strain is a common injury in runners. However, it also may occur during a strenuous leg press at the gym. The pain of a quadriceps strain is felt in the front of the thigh. The strain may be described as a groin pull if the tear is fairly high in the muscle.  ']",leg-strain,,"['Rest the injured muscle (take a temporary break from sports activities). ', 'Ice the injured area to reduce swelling. ', 'Compress the muscle with an elastic bandage. ', 'Elevate the injured leg.  ']","['Warm up before you participate in high-risk sports.  ', 'Follow an exercise program aimed at stretching and strengthening your leg muscles.  ', 'Increase the intensity of your training program gradually. Never push yourself too hard, too soon. ']"
309,"['Red blood cells, which carry oxygen from the lungs to the body’s tissues and take carbon dioxide to the lungs to be exhaled', 'Platelets, which help blood clot', 'White blood cells, which help fight infections, viruses, and diseases.']",leukemia,,"['Fever', 'Fatigue', 'Aching bones or joints', 'Headaches', 'Skin rashes', 'Swollen glands (lymph nodes)', 'Unexplained weight loss', 'Bleeding or swollen gums', 'An enlarged spleen or liver, or a feeling of abdominal fullness', 'Slow-healing cuts, nosebleeds, or frequent bruises.']","['Chronic lymphocytic leukemia (CLL) is rare in people under age 30. It is more likely to develop as a person ages. Most cases occur in people between ages 60 and 70. In CLL, abnormal lymphocytes cannot fight infection as well as normal cells can. These cancerous cells live in the bone marrow, blood, spleen, and lymph nodes. They can cause swelling, which appears as swollen glands. People with CLL can live a long time, even without treatment. Most often, CLL is discovered when a person has a routine blood test that shows elevated levels of lymphocytes. Over time, this type of leukemia can require treatment, especially if the person has infections or develops a high white blood cell count.', 'Chronic myeloid leukemia (CML) occurs most often in people between ages 25 and 60. In CML, the abnormal cells are a type of blood cell called myeloid cells. CML usually involves a defective string of DNA called the Philadelphia chromosome. (This disease is not inherited; the change in DNA that causes it occurs after birth.) The genetic defect results in the production of an abnormal protein. Drugs called tyrosine kinase inhibitors block the function of this abnormal protein, improving a person’s blood counts. In some cases, the abnormal genetic defect even seems to disappear. Alternatively, some cases of CML can be cured with a bone marrow transplant.']"
310,,liver-biopsy,,,
311,"['Helps blood to clot', 'Removes or neutralizes poisons, drugs and alcohol', 'Helps the body to absorb fats and cholesterol', 'Helps to maintain normal blood sugar levels', 'Regulates hormones']",liver-cancer,,"['Physical examination. To check for weight loss, malnutrition, weakness, enlargement of the liver, and associated diseases such as hepatitis and cirrhosis.', 'Blood tests. To detect elevated levels of a protein associated with primary liver cancer.', 'Computed tomography (CT) scan. An imaging test using x-rays to detect and locate tumors.', 'Ultrasound. An imaging test using sound waves that can determine if a spot on the liver is a tumor (solid growth) or a cyst (a fluid filled cavity).', 'Hepatic artery angiogram. A test that examines the blood vessels that supply blood to liver cancer. It also helps determine whether the tumor can be removed surgically.', 'Magnetic resonance imaging (MRI). An imaging test using magnetic fields that produces more detailed images than CT or ultrasound.', 'Biopsy. Removal of a small amount of tissue from a growth in the liver that is examined in a laboratory to determine if it is cancerous.', 'Laparoscopy. Insertion of a thin, lighted tube through a small incision in the abdomen to view the liver and surrounding organs and lymph nodes.']","['Unexplained weight loss', 'Loss of appetite', 'Feeling full after a small meal', 'Pain or swelling, especially in the upper-right abdomen', 'A yellow tint in the skin and eyes', 'Liver enlargement or a mass in the area of the liver', 'Low blood sugar']"
312,['nadolol'],long-qt-syndrome,,,
313,"['liver', 'bones', 'adrenal glands', 'brain.']",lung-cancer,,"['your symptoms', 'your smoking history', 'whether you live with a smoker', 'your exposure to asbestos and other cancer-causing agents.']","[""a cough that doesn't go away"", 'coughing up blood or mucus', 'wheezing', 'shortness of breath', 'trouble breathing', 'chest pain', 'fever', 'discomfort when swallowing', 'hoarseness', 'weight loss', 'poor appetite', 'an irregular heartbeat if the cancer is located close to the heart.']"
314,"['Chronic obstructive pulmonary disease , including emphysema', 'Cystic fibrosis', 'Idiopathic pulmonary fibrosis', 'Alpha1-antitrypsin deficiency', 'Primary pulmonary hypertension']",lung-transplant,,"['A fever', 'A new cough or chest pain', 'Shortness of breath, or a drop in your spirometry (lung capacity) readings', 'Bleeding, pain or discharge from your surgical incision']","['About 80% survive the first year', 'About 65% survive 3 years', 'Just over 50% survive 5 years']"
315,"['Avoid woods, high brush, and grasses where ticks hide  ', 'Wear long pants and long sleeves; white clothing makes is easier to spot ticks  ', 'Examine your skin for ticks soon after returning from wooded areas or areas with high grass or brush  ', 'Apply tick repellents (especially those that contain DEET) to the skin and clothing  ']",lyme-disease,,,
